Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R
Ms,,,,,,,,,,,,,,,,,
13880.3452,,26620.88,1062.700609,0,0,26614.12,1108.308611,0,0,26769.6,1206.866667,0,0,26843.96,1020.394863,0,0
13890.3526,,26620.88,1137.518791,0,0,26614.12,1187.765558,0,0,26769.6,1272.312626,0,0,26843.96,1089.05515,0,0
13900.3601,,26620.88,1235.306247,0,0,26614.12,1298.923546,0,0,26769.6,1403.494444,0,0,26843.96,1181.09519,0,0
13910.3675,,26620.88,1348.523616,0,0,26614.12,1427.97968,0,0,26769.6,1561.741667,0,0,26843.96,1289.537648,0,0
13920.375,,26620.88,1462.078974,0,0,26614.12,1555.250699,0,0,26769.6,1726.889394,0,0,26843.96,1396.419542,0,0
13930.3824,,26620.88,1576.241239,0,0,26614.12,1688.257811,0,0,26769.6,1889.296212,0,0,26843.96,1504.086628,0,0
13940.3899,,26620.88,1675.877603,0,0,26614.12,1802.676403,0,0,26769.6,2045.065404,0,0,26843.96,1596.890456,0,0
13950.3974,,26620.88,1773.04901,0,0,26614.12,1920.729997,0,0,26769.6,2184.387374,0,0,26843.96,1683.197431,0,0
13960.4048,,26620.88,1854.181564,0,0,26614.12,2015.432817,0,0,26769.6,2313.395202,0,0,26843.96,1756.234702,0,0
13970.4123,,26620.88,1933.365414,0,0,26614.12,2109.163322,0,0,26769.6,2425.496465,0,0,26843.96,1822.225132,0,0
13980.4197,,26620.88,1990.723718,0,0,26614.12,2184.757176,0,0,26769.6,2522.720455,0,0,26843.96,1873.235961,0,0
13990.4272,,26620.88,2046.806501,0,0,26614.12,2254.060198,0,0,26769.6,2601.875758,0,0,26843.96,1922.032989,0,0
14000.4347,,26620.88,2089.533012,0,0,26614.12,2308.859792,0,0,26769.6,2670.993182,0,0,26843.96,1955.779149,0,0
